transition phase in LB,stationary phase in LB,transition phase in LBG,stationary phase in LBG,sporulation early stage,sporulation late stage,germination,competence 30min,competence 90min,individual colonies,confluent colonies,swarming cells,biofilm,transition phase in M9,stationary phase in M9,from glucose to Malic acid and glucose,from glucose to fructose,from glucose to Malic acid,from glucose to glutamic acid and succinic acid,from glucose to pyruvate,from glucose to glycerol,from glucose to gluconate,anaerobic,starvation,low phosphate,phosphate limitation,high tempurature (51) in SMM,low tempurature  (16) in SMM,high salinity (1.2M) in SMM,high tempurature (48) in BMM,low tempurature (18) in BMM,ethanol,high salinity (0.4M) in SMM,mitomycin (45min),mitomycin (90min),"diamide (0.5mM at 5min and 15min)",diamide (0.6mM 10min),paraquat (0.4mM 10min),H2O2 (0.1mM at 10min),from glucose to malate (5min to 90min),"from glucose to malate (120min 150min)",from malate to glucose (5min to 90min),from malate to glucose (120min 150min),from LB to M9  in exponential phase,from LB to M9 in stationary phase,from SMM to BMM,from SMM to BMM heat,from SMM to BMM cold,from salt 0.4M to 1.2M,from OD500 0.4 to OD578 1 in SMM,from OD540 0.3 to OD600 0.6 in LB
LBexp_1,0,0,non,non,non,non,0,0,0,0,0,0,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
LBexp_2,0,0,non,non,non,non,0,0,0,0,0,0,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
LBexp_3,0,0,non,non,non,non,0,0,0,0,0,0,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
LBtran_1,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
LBtran_2,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
LBtran_3,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
LBstat_1,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
LBstat_2,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
LBstat_3,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
LBGexp_1,non,non,0,0,non,non,0,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,non,non,non,non,non,non,non
LBGexp_2,non,non,0,0,non,non,0,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,non,non,non,non,non,non,non
LBGexp_3,non,non,0,0,non,non,0,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,non,non,non,non,non,non,non
LBGtran_2,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,non,non,non,non,non,non
LBGtran_3,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,non,non,non,non,non,non
LBGstat_1,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,0,non,non,non,non,non,non
LBGstat_2,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
LBGstat_3,non,non,non,1,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
S0_1,non,non,non,non,0,0,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
