source	target	sign	mechanism
spo0A	tkt	-1	TF+PP
lexA	tkt	0	TF-proteolyse
nadR	yceI	-1	TF+M
sigE	ybbC	1	sigma factor
codY	ybbC	0	TF+M
murR	ybbC	0	silico-TF+M
sigH	ytxG	1	sigma factor
sigB	ytxG	1	sigma factor
sigA	gmuB	1	sigma factor
gmuR	gmuB	-1	TF+M
ccpA	gmuB	-1	TF+PP+M
abrB	gmuB	1	TF
sigK	dapA	1	sigma factor
sigA	dapA	1	sigma factor
L-box-LYS	dapA	1	riboswitch
sigA	perR	1	sigma factor
perR	perR	-1	TF+S
sigE	spoIIIAH	1	sigma factor
gerR	spoIIIAH	-1	TF
spoIIID	spoIIIAH	-1	TF
gerE	spoIIIAH	-1	TF
tnrA	yycB	-1	TF+P+M
sigK	smc	1	sigma factor
sigA	smc	1	sigma factor
stringent response	smc	-1	unk
gerE	smc	1	TF
sigF	csfB	1	sigma factor
sigE	yheC	1	sigma factor
spoIIID	yheC	1	TF
sigA	yuxO	1	sigma factor
sigE	yuzC	1	sigma factor
sigA	zosA	1	sigma factor
perR	zosA	-1	TF+S
sigA	pyrE	1	sigma factor
pyrR	pyrE	1	P-AT+M
purR	pyrE	-1	TF+M
sigE	yjfA	1	sigma factor
sigB	yjgD	1	sigma factor
sigB	ydbD	1	sigma factor
abrB	yomJ	-1	TF
sigG	spoVT	1	sigma factor
sigF	spoVT	1	sigma factor
spoVT	spoVT	-1	TF
lexA	yhjE	-1	TF-proteolyse
sigG	ykzD	1	sigma factor
sknR	yqdA	-1	TF
sigE	yobN	1	sigma factor
spoIIID	yobN	-1	TF
gerR	yobN	-1	TF
sigK	yisI	1	sigma factor
sigE	yisI	1	sigma factor
spo0A	yisI	1	TF+PP
sigA	yuxH	1	sigma factor
spo0A	yuxH	-1	TF+PP
fadR	fadG	-1	TF+M
sigA	araA	1	sigma factor
ccpA	araA	-1	TF+PP+M
araR	araA	-1	TF+M
sigA	odhB	1	sigma factor
ccpA	odhB	-1	TF+PP+M
codY	yclM	-1	TF+M
sigA	xpt	1	sigma factor
purR	xpt	-1	TF+M
G-box-HXTX	xpt	1	riboswitch
G-box-GUA	xpt	1	riboswitch
stringent response	rplD	-1	unk
sigG	lysA	1	sigma factor
sigA	lysA	1	sigma factor
spoVT	lysA	1	TF
L-box-LYS	lysA	1	riboswitch
sigA	mrnC	1	sigma factor
T-box-CYS	mrnC	1	RNA switch
sigH	yobO	1	sigma factor
ccpA	yobO	-1	TF+PP+M
abrB	yobO	-1	TF
hisR	hisD	0	silico-TF+M
stringent response	qoxD	-1	unk
stringent response	rpmEA	-1	unk
spo0A	yneE	1	TF+PP
Thrr	yclM	-1	TF
lexA	yneE	0	TF-proteolyse
sigE	yabP	1	sigma factor
sigX	yabP	1	sigma factor
sigW	yabP	1	sigma factor
spoIIID	yabP	-1	TF
sigE	cspR	1	sigma factor
sknR	yqaG	-1	TF
lexA	ligA	-1	TF-proteolyse
sigB	katE	1	sigma factor
ydfF	ydfF	0	silico-TF+unk
sigA	bglS	1	sigma factor
licT	bglS	1	P-AT+PTS
ccpA	bglS	-1	TF+PP+M
degU	bglS	1	TF+TC
sigA	trpC	1	sigma factor
TRAP	trpC	-1	RNA-BAP
sigB	rnr	1	sigma factor
sigA	degS	1	sigma factor
sigA	metN	1	sigma factor
S-box-SAM	metN	-1	
codY	metN	1	TF+M
sigD	yvyF	1	sigma factor
sigA	yvyF	1	sigma factor
comK	yvyF	1	TF
sigK	ywkF	1	sigma factor
sigD	comFC	1	sigma factor
sigA	comFC	1	sigma factor
comK	comFC	1	TF
sigA	metI	1	sigma factor
S-box-SAM	metI	-1	
codY	metI	0	TF+M
sigB	ywzA	1	sigma factor
tnrA	oppD	1	TF+P+M
scoC	oppD	-1	TF
codY	oppD	0	TF+M
sigE	ypiA	1	sigma factor
spoIIID	ypiA	-1	TF
sigK	lipC	1	sigma factor
tnrA	lipC	1	TF+P+M
kipR	lipC	-1	TF+unk
yhdI/YdeL	ydeL	0	silico-TF+unk
ccpA	amyD	-1	TF+PP+M
msmR	amyD	0	silico-TF+M
sigA	dppB	1	sigma factor
codY	dppB	-1	TF+M
abrB	dppB	-1	TF
rok	yxaJ	-1	TF
abrB	yxaJ	-1	TF
ccpA	ywbA	0	TF+PP+M
rbsR	ywbA	0	silico-TF+M
yrkD	yrkH	0	silico-TF+unk
ylaC	ylaB	1	sigma factor
sigA	ylaB	1	sigma factor
spx	ylaB	1	TF+S
spo0A	sdpB	1	TF+PP
rok	sdpB	-1	TF
abrB	sdpB	-1	TF
sigA	fadA	1	sigma factor
sdpR	fadA	1	TF+P
fadR	fadA	-1	TF+M
ccpA	fadA	-1	TF+PP+M
sigB	csbC	1	sigma factor
hisR	yuiF	0	silico-TF+M
sigB	ywiE	1	sigma factor
sigG	csgA	1	sigma factor
spoVT	csgA	-1	TF
sigE	ymaD	1	sigma factor
sigB	yitT	1	sigma factor
yvrI-YvrHa	yvrL	1	sigma like factor
sigH	yisK	1	sigma factor
sigA	sigM	1	sigma factor
sigM	ylxX	1	sigma factor
sigE	ylxX	1	sigma factor
sigA	ylxX	1	sigma factor
spoIIID	ylxX	-1	TF
