locus.tag	gene_name	metabolite	sign	mechanism
BSU17890	tkt	DNA_Damage	1	
BSU02950	yceI	Niacin	1	
BSU01650	ybbC	GTP	1	
BSU01650	ybbC	isoleucine	1	
BSU01650	ybbC	valine	1	
BSU01650	ybbC	N-acetylmuramate-6-phosphate	-1	
BSU05810	gmuB	Glucomannan	-1	
BSU05810	gmuB	D-fructose-1,6-bisphosphate	1	
BSU05810	gmuB	Glucose-6-Phosphate	1	
BSU16770	dapA	Lysine	1	
BSU08730	perR	Hydrogen_peroxide::stress	-1	
BSU40480	yycB	Glutamine	-1	
BSU13850	zosA	Hydrogen_peroxide::stress	-1	
BSU15560	pyrE	UTP	1	
BSU15560	pyrE	PRPP	-1	
BSU15560	pyrE	UMP	1	
BSU10480	yhjE	DNA_Damage	1	
BSU14071	fadG	Palmitoyl-CoA	1	
BSU14071	fadG	Oleoyl-CoA	0	
BSU28800	araA	D-fructose-1,6-bisphosphate	1	
BSU28800	araA	Glucose-6-Phosphate	1	
BSU28800	araA	Arabinose	-1	
BSU19360	odhB	D-fructose-1,6-bisphosphate	1	
BSU19360	odhB	Glucose-6-Phosphate	1	
BSU22070	xpt	PRPP	-1	
BSU22070	xpt	Hypoxanthine	-1	
BSU22070	xpt	Guanine	-1	
BSU23380	lysA	Lysine	1	
BSU00950	mrnC	tRNAcys	-1	
BSU19030	yobO	D-fructose-1,6-bisphosphate	1	
BSU19030	yobO	Glucose-6-Phosphate	1	
BSU34910	hisD	Histidine	1	
BSU17900	yneE	DNA_Damage	1	
BSU06620	ligA	DNA_Damage	1	
BSU05390	ydfF	unk	0	
BSU39070	bglS	Salicin	1	
BSU39070	bglS	Arbutin	1	
BSU39070	bglS	D-fructose-1,6-bisphosphate	1	
BSU39070	bglS	Glucose-6-Phosphate	1	
BSU39070	bglS	unk	-1	
BSU22660	trpC	Tryptophan	1	
BSU32730	metN	S-adenosyl-L-methionine	-1	
BSU32730	metN	GTP	1	
BSU32730	metN	isoleucine	1	
BSU32730	metN	valine	1	
BSU11870	metI	S-adenosyl-L-methionine	-1	
BSU11870	metI	GTP	1	
BSU11870	metI	isoleucine	1	
BSU11870	metI	valine	1	
BSU11460	oppD	Glutamine	-1	
BSU11460	oppD	GTP	1	
BSU11460	oppD	isoleucine	1	
BSU11460	oppD	valine	1	
BSU04110	lipC	Glutamine	-1	
BSU04110	lipC	unk	0	
BSU05240	ydeL	unk	0	
BSU30280	amyD	D-fructose-1,6-bisphosphate	1	
BSU30280	amyD	Glucose-6-Phosphate	1	
BSU30280	amyD	unk	-1	
BSU12930	dppB	GTP	1	
BSU12930	dppB	isoleucine	1	
BSU12930	dppB	valine	1	
BSU38390	ywbA	D-fructose-1,6-bisphosphate	1	
BSU38390	ywbA	Glucose-6-Phosphate	1	
BSU38390	ywbA	ribose	-1	
BSU26510	yrkH	unk	0	
BSU14720	ylaB	Thiol_specific_oxidative_stress::stress	1	
BSU32830	fadA	Sdpc	1	
BSU32830	fadA	Palmitoyl-CoA	1	
BSU32830	fadA	Oleoyl-CoA	0	
BSU32830	fadA	D-fructose-1,6-bisphosphate	1	
BSU32830	fadA	Glucose-6-Phosphate	1	
BSU32040	yuiF	Histidine	1	
