gene_name	regulator	sign	mechanism
tkt	spo0A	-1	TF+PP
tkt	lexA	0	TF-proteolyse
yceI	nadR	-1	TF+M
ybbC	sigE	1	sigma factor
ybbC	codY	0	TF+M
ybbC	murR	0	silico-TF+M
ytxG	sigH	1	sigma factor
ytxG	sigB	1	sigma factor
gmuB	sigA	1	sigma factor
gmuB	gmuR	-1	TF+M
gmuB	ccpA	-1	TF+PP+M
gmuB	abrB	1	TF
dapA	sigK	1	sigma factor
dapA	sigA	1	sigma factor
dapA	L-box-LYS	1	riboswitch
perR	sigA	1	sigma factor
perR	perR	-1	TF+S
spoIIIAH	sigE	1	sigma factor
spoIIIAH	gerR	-1	TF
spoIIIAH	spoIIID	-1	TF
spoIIIAH	gerE	-1	TF
yycB	tnrA	-1	TF+P+M
smc	sigK	1	sigma factor
smc	sigA	1	sigma factor
smc	stringent response	-1	unk
smc	gerE	1	TF
csfB	sigF	1	sigma factor
yheC	sigE	1	sigma factor
yheC	spoIIID	1	TF
yuxO	sigA	1	sigma factor
yuzC	sigE	1	sigma factor
zosA	sigA	1	sigma factor
zosA	perR	-1	TF+S
pyrE	sigA	1	sigma factor
pyrE	pyrR	1	P-AT+M
pyrE	purR	-1	TF+M
yjfA	sigE	1	sigma factor
yjgD	sigB	1	sigma factor
ydbD	sigB	1	sigma factor
yomJ	abrB	-1	TF
spoVT	sigG	1	sigma factor
spoVT	sigF	1	sigma factor
spoVT	spoVT	-1	TF
yhjE	lexA	-1	TF-proteolyse
ykzD	sigG	1	sigma factor
yqdA	sknR	-1	TF
yobN	sigE	1	sigma factor
yobN	spoIIID	-1	TF
yobN	gerR	-1	TF
yisI	sigK	1	sigma factor
yisI	sigE	1	sigma factor
yisI	spo0A	1	TF+PP
yuxH	sigA	1	sigma factor
yuxH	spo0A	-1	TF+PP
fadG	fadR	-1	TF+M
araA	sigA	1	sigma factor
araA	ccpA	-1	TF+PP+M
araA	araR	-1	TF+M
odhB	sigA	1	sigma factor
odhB	ccpA	-1	TF+PP+M
xpt	sigA	1	sigma factor
xpt	purR	-1	TF+M
xpt	G-box-HXTX	1	riboswitch
xpt	G-box-GUA	1	riboswitch
