regulon,regulator,mode,gene,locus.tag,flag
PerR Regulon,PerR,activation,srfAD,BSU03520,1
PerR Regulon,PerR,activation,srfAB,BSU03490,1
PerR Regulon,PerR,repression,mrgA,BSU32990,-1
PerR Regulon,PerR,repression,ahpF,BSU40100,-1
PerR Regulon,PerR,repression,hemB,BSU28130,-1
PerR Regulon,PerR,repression,spxA,BSU11500,-1
PerR Regulon,PerR,repression,yjbC,BSU11490,-1
PerR Regulon,PerR,repression,katA,BSU08820,-1
PerR Regulon,PerR,transcription repression,ymaB,BSU17400,-1
PerR Regulon,PerR,transcription repression,nrdE,BSU17380,-1
PerR Regulon,PerR,activation,srfAC,BSU03510,1
PerR Regulon,PerR,repression,hemL,BSU28120,-1
PerR Regulon,PerR,transcription repression,nrdF,BSU17390,-1
PerR Regulon,PerR,repression,hemX,BSU28160,-1
PerR Regulon,PerR,repression,hemD,BSU28140,-1
PerR Regulon,PerR,repression,hemA,BSU28170,-1
PerR Regulon,PerR,transcription repression,nrdI,BSU17370,-1
PerR Regulon,PerR,repression,ahpC,BSU40090,-1
PerR Regulon,PerR,repression,perR,BSU08730,-1
PerR Regulon,PerR,repression,fur,BSU23520,-1
PerR Regulon,PerR,activation,srfAA,BSU03480,1
PerR Regulon,PerR,activation,comS,BSU03500,1
PerR Regulon,PerR,repression,hemC,BSU28150,-1
SpoVT Regulon,SpoVT,activation,lysA,BSU23380,1
SpoVT Regulon,SpoVT,activation,spoIVB,BSU24230,1
SpoVT Regulon,SpoVT,repression,ybxH,BSU02080,-1
SpoVT Regulon,SpoVT,repression,gerAB,BSU33060,-1
SpoVT Regulon,SpoVT,activation,spoVAEB,BSU23402,1
SpoVT Regulon,SpoVT,activation,spoVAF,BSU23390,1
SpoVT Regulon,SpoVT,repression,fabL,BSU08650,-1
SpoVT Regulon,SpoVT,repression,glcU,BSU03920,-1
SpoVT Regulon,SpoVT,activation,ylyA,BSU15440,1
SpoVT Regulon,SpoVT,repression,ykoS,BSU13380,-1
SpoVT Regulon,SpoVT,repression,yqjB,BSU23940,-1
SpoVT Regulon,SpoVT,repression,gerAA,BSU33050,-1
SpoVT Regulon,SpoVT,activation,sspA,BSU29570,1
SpoVT Regulon,SpoVT,repression,gerKC,BSU03710,-1
SpoVT Regulon,SpoVT,repression,yqjC,BSU23930,-1
SpoVT Regulon,SpoVT,repression,tepA,BSU16790,-1
SpoVT Regulon,SpoVT,repression,gdh,BSU03930,-1
SpoVT Regulon,SpoVT,activation,spoVAB,BSU23430,1
SpoVT Regulon,SpoVT,repression,spoIIP,BSU25530,-1
SpoVT Regulon,SpoVT,activation,ykoV,BSU13410,1
SpoVT Regulon,SpoVT,repression,ylzJ,BSU16799,-1
SpoVT Regulon,SpoVT,repression,sspE,BSU08660,-1
SpoVT Regulon,SpoVT,activation,spoVAEA,BSU23401,1
SpoVT Regulon,SpoVT,activation,sspB,BSU09750,1
SpoVT Regulon,SpoVT,activation,spoVAD,BSU23410,1
SpoVT Regulon,SpoVT,activation,spoVAA,BSU23440,1
