sampleIndex,SampleID,ConditionID,experimentID,condition_coarse,condition,annotation,type,medium,experiment,laboratory
1,LBexp_1,LBexp,1,growing in favorable environment,exponential phase,growing in LB medium exponential phase (E1_1),control,LB,1: growth cycle in LB medium,Jouy
2,LBexp_2,LBexp,1,growing in favorable environment,exponential phase,growing in LB medium exponential phase (E1_1),control,LB,1: growth cycle in LB medium,Jouy
3,LBexp_3,LBexp,1,growing in favorable environment,exponential phase,growing in LB medium exponential phase (E1_1),control,LB,1: growth cycle in LB medium,Jouy
4,LBtran_1,LBtran,1,transition phase,transition phase,growing in LB medium transition phase (E1_2),treatment,LB,1: growth cycle in LB medium,Jouy
5,LBtran_2,LBtran,1,transition phase,transition phase,growing in LB medium transition phase (E1_2),treatment,LB,1: growth cycle in LB medium,Jouy
6,LBtran_3,LBtran,1,transition phase,transition phase,growing in LB medium transition phase (E1_2),treatment,LB,1: growth cycle in LB medium,Jouy
7,LBstat_1,LBstat,1,stationary phase,stationary phase,growing in LB medium stationary phase (E1_3),treatment,LB,1: growth cycle in LB medium,Jouy
8,LBstat_2,LBstat,1,stationary phase,stationary phase,growing in LB medium stationary phase (E1_3),treatment,LB,1: growth cycle in LB medium,Jouy
9,LBstat_3,LBstat,1,stationary phase,stationary phase,growing in LB medium stationary phase (E1_3),treatment,LB,1: growth cycle in LB medium,Jouy
10,LBGexp_1,LBGexp,2,growing in favorable environment,exponential phase,growing in LB medium with glucose exponential phase (E2_1),control,LB,2: growth cycle in LB medium with glucose,Jouy
11,LBGexp_2,LBGexp,2,growing in favorable environment,exponential phase,growing in LB medium with glucose exponential phase (E2_1),control,LB,2: growth cycle in LB medium with glucose,Jouy
12,LBGexp_3,LBGexp,2,growing in favorable environment,exponential phase,growing in LB medium with glucose exponential phase (E2_1),control,LB,2: growth cycle in LB medium with glucose,Jouy
13,LBGtran_2,LBGtran,2,transition phase,transition phase,growing in LB medium with glucose transition phase (E2_2),treatment,LB,2: growth cycle in LB medium with glucose,Jouy
14,LBGtran_3,LBGtran,2,transition phase,transition phase,growing in LB medium with glucose transition phase (E2_2),treatment,LB,2: growth cycle in LB medium with glucose,Jouy
15,LBGstat_1,LBGstat,2,stationary phase,stationary phase,growing in LB medium with glucose stationary phase (E2_3),treatment,LB,2: growth cycle in LB medium with glucose,Jouy
16,LBGstat_2,LBGstat,2,stationary phase,stationary phase,growing in LB medium with glucose stationary phase (E2_3),treatment,LB,2: growth cycle in LB medium with glucose,Jouy
17,LBGstat_3,LBGstat,2,stationary phase,stationary phase,growing in LB medium with glucose stationary phase (E2_3),treatment,LB,2: growth cycle in LB medium with glucose,Jouy
18,S0_1,S0,3,growing in favorable environment,before sporulation,growing in CH medium before sporulation induced (E3_1),control,CH,3: sporulation induction in CH medium,Jouy
19,S0_2,S0,3,growing in favorable environment,before sporulation,growing in CH medium before sporulation induced (E3_1),control,CH,3: sporulation induction in CH medium,Jouy
20,S0_3,S0,3,growing in favorable environment,before sporulation,growing in CH medium before sporulation induced (E3_1),control,CH,3: sporulation induction in CH medium,Jouy
21,S1_1,S1,3,sporulation,sporulation early stage,1h after sporulation induced (E3_2),treatment,CH,3: sporulation induction in CH medium,Jouy
22,S1_2,S1,3,sporulation,sporulation early stage,1h after sporulation induced (E3_2),treatment,CH,3: sporulation induction in CH medium,Jouy
23,S1_3,S1,3,sporulation,sporulation early stage,1h after sporulation induced (E3_2),treatment,CH,3: sporulation induction in CH medium,Jouy
24,S2_1,S2,3,sporulation,sporulation early stage,2h after sporulation induced (E3_3),treatment,CH,3: sporulation induction in CH medium,Jouy
25,S2_2,S2,3,sporulation,sporulation early stage,2h after sporulation induced (E3_3),treatment,CH,3: sporulation induction in CH medium,Jouy
26,S2_3,S2,3,sporulation,sporulation early stage,2h after sporulation induced (E3_3),treatment,CH,3: sporulation induction in CH medium,Jouy
27,S3_1,S3,3,sporulation,sporulation late stage,3h after sporulation induced (E3_4),treatment,CH,3: sporulation induction in CH medium,Jouy
28,S3_2,S3,3,sporulation,sporulation late stage,3h after sporulation induced (E3_4),treatment,CH,3: sporulation induction in CH medium,Jouy
29,S3_3,S3,3,sporulation,sporulation late stage,3h after sporulation induced (E3_4),treatment,CH,3: sporulation induction in CH medium,Jouy
30,S4_1,S4,3,sporulation,sporulation late stage,4h after sporulation induced (E3_5),treatment,CH,3: sporulation induction in CH medium,Jouy
31,S4_2,S4,3,sporulation,sporulation late stage,4h after sporulation induced (E3_5),treatment,CH,3: sporulation induction in CH medium,Jouy
32,S4_3,S4,3,sporulation,sporulation late stage,4h after sporulation induced (E3_5),treatment,CH,3: sporulation induction in CH medium,Jouy
33,S5_1,S5,3,sporulation,sporulation late stage,5h after sporulation induced (E3_6),treatment,CH,3: sporulation induction in CH medium,Jouy
34,S5_2,S5,3,sporulation,sporulation late stage,5h after sporulation induced (E3_6),treatment,CH,3: sporulation induction in CH medium,Jouy
35,S5_3,S5,3,sporulation,sporulation late stage,5h after sporulation induced (E3_6),treatment,CH,3: sporulation induction in CH medium,Jouy
36,S6_1,S6,3,sporulation,sporulation late stage,6h after sporulation induced (E3_7),treatment,CH,3: sporulation induction in CH medium,Jouy
37,S6_2,S6,3,sporulation,sporulation late stage,6h after sporulation induced (E3_7),treatment,CH,3: sporulation induction in CH medium,Jouy
38,S6_3,S6,3,sporulation,sporulation late stage,6h after sporulation induced (E3_7),treatment,CH,3: sporulation induction in CH medium,Jouy
39,S6_t1,S6,3,sporulation,sporulation late stage,6h after sporulation induced (E3_7),treatment,CH,3: sporulation induction in CH medium,Jouy
40,S6_t2,S6,3,sporulation,sporulation late stage,6h after sporulation induced (E3_7),treatment,CH,3: sporulation induction in CH medium,Jouy
41,S6_t3,S6,3,sporulation,sporulation late stage,6h after sporulation induced (E3_7),treatment,CH,3: sporulation induction in CH medium,Jouy
42,S6_4,S6,3,sporulation,sporulation late stage,6h after sporulation induced (E3_7),treatment,CH,3: sporulation induction in CH medium,Jouy
43,S6_5,S6,3,sporulation,sporulation late stage,6h after sporulation induced (E3_7),treatment,CH,3: sporulation induction in CH medium,Jouy
44,S6_6,S6,3,sporulation,sporulation late stage,6h after sporulation induced (E3_7),treatment,CH,3: sporulation induction in CH medium,Jouy
45,S7_4,S7,3,sporulation,sporulation late stage,7h after sporulation induced (E3_8),treatment,CH,3: sporulation induction in CH medium,Jouy
46,S7_5,S7,3,sporulation,sporulation late stage,7h after sporulation induced (E3_8),treatment,CH,3: sporulation induction in CH medium,Jouy
47,S7_6,S7,3,sporulation,sporulation late stage,7h after sporulation induced (E3_8),treatment,CH,3: sporulation induction in CH medium,Jouy
48,S8_4,S8,3,sporulation,sporulation late stage,8h after sporulation induced (E3_9),treatment,CH,3: sporulation induction in CH medium,Jouy
49,S8_5,S8,3,sporulation,sporulation late stage,8h after sporulation induced (E3_9),treatment,CH,3: sporulation induction in CH medium,Jouy
50,G135_1,G135,4,germination,germination,135 min after germination with L-alanine (E4_1),treatment,LB,4: germination with L-alanine,Jouy
51,G135_3,G135,4,germination,germination,135 min after germination with L-alanine (E4_1),treatment,LB,4: germination with L-alanine,Jouy
52,G150_1,G150,4,germination,germination,150 min after germination with L-alanine (E4_2),treatment,LB,4: germination with L-alanine,Jouy
