Name,Locus_tag,StartV3,EndV3,Strand,classif
S1,S1,new_1_148,1,148,1,5'
S2,S2,new_24_297_c,24,297,-1,indep-Ext
S3,S3,new_150_409,150,409,1,5'
S4,S4,new_299_1067_c,299,1067,-1,indep
dnaA,dnaA,BSU00010,410,1750,1,-
S5,S5,new_1751_1938,1751,1938,1,intra
dnaN,dnaN,BSU00020,1939,3075,1,-
yaaA,yaaA,BSU00030,3206,3421,1,-
recF,recF,BSU00040,3437,4549,1,-
yaaB,yaaB,BSU00050,4567,4812,1,-
gyrB,gyrB,BSU00060,4867,6783,1,-
S6,S6,new_6784_6993,6784,6993,1,intra
gyrA,gyrA,BSU00070,6994,9459,1,-
S7,S7,new_9529_9614,9529,9614,1,5'
S8,S8,new_14811_15868,14811,15868,1,inter
yaaC,yaaC,BSU00080,14847,15794,-1,-
guaB,guaB,BSU00090,15915,17381,1,-
S9,S9,new_17238_17833_c,17238,17833,-1,indep-Ext
S10,S10,new_17453_17533,17453,17533,1,5'
dacA,dacA,BSU00100,17534,18865,1,-
S11,S11,new_18866_18974,18866,18974,1,inter
S12,S12,new_18976_19061,18976,19061,1,5'
pdxS,pdxS,BSU00110,19062,19946,1,-
S13,S13,new_19194_19923_c,19194,19923,-1,indep-Ext
pdxT,pdxT,BSU00120,19968,20558,1,-
X,NA,BSU_misc_RNA_1,20611,20823,1,-
serS,serS,BSU00130,20880,22157,1,-
S14,S14,new_22452_22529,22452,22529,1,3'PT
dck,dck,BSU00140,22496,23149,-1,-
S15,S15,new_22531_23167,22531,23167,1,3'PT
dgk,dgk,BSU00150,23146,23769,-1,-
yaaH,yaaH,BSU00160,23868,25151,-1,-
yaaI,yaaI,BSU00170,25221,25766,-1,-
S16,S16,new_25655_25851,25655,25851,1,5'
tadA,tadA,BSU00180,25852,26337,1,-
S17,S17,new_26383_26532,26383,26532,1,5'
scr,scr,BSU_misc_RNA_2,26533,26635,1,-
S18,S18,new_26636_26731,26636,26731,1,3'UTR
dnaX,dnaX,BSU00190,26814,28505,1,-
yaaK,yaaK,BSU00200,28529,28852,1,-
recR,recR,BSU00210,28867,29463,1,-
yaaL,yaaL,BSU00220,29481,29705,1,-
bofA,bofA,BSU00230,29772,30035,1,-
S19,S19,new_30076_30278,30076,30278,1,5'
S20,S20,new_35104_35236,35104,35236,1,intra
S21,S21,new_35356_35458,35356,35458,1,inter
csfB,csfB,BSU00240,35531,35725,1,-
xpaC,xpaC,BSU00250,35845,36459,1,-
yaaN,yaaN,BSU00260,36478,37638,1,-
S22,S22,new_37639_37719,37639,37719,1,intra
yaaO,yaaO,BSU00270,37720,39162,1,-
tmk,tmk,BSU00280,39159,39797,1,-
yaaQ,yaaQ,BSU00290,39871,40200,1,-
yaaR,yaaR,BSU00300,40213,40653,1,-
holB,holB,BSU00310,40665,41654,1,-
yaaT,yaaT,BSU00320,41657,42484,1,-
yabA,yabA,BSU00330,42499,42858,1,-
yabB,yabB,BSU00340,42917,43660,1,-
yazA,yazA,BSU00350,43647,43946,1,-
yabC,yabC,BSU00360,43921,44799,1,-
abrB,abrB,BSU00370,44848,45138,-1,-
S23,S23,new_45224_45399_c,45224,45399,-1,5'
S24,S24,new_45524_45632,45524,45632,1,5'
metS,metS,BSU00380,45633,47627,1,-
S25,S25,new_47673_50019_c,47673,50019,-1,indep-Ext
yabD,yabD,BSU00390,47706,48473,1,-
S26,S26,new_48474_48554,48474,48554,1,inter
yabE,yabE,BSU00400,48629,49942,1,-
S27,S27,new_49987_50086,49987,50086,1,5'
rnmV,rnmV,BSU00410,50087,50647,1,-
ksgA,ksgA,BSU00420,50640,51518,1,-
S28,S28,new_51558_51679,51558,51679,1,5'
yabG,yabG,BSU00430,51680,52552,1,-
S29,S29,new_52649_52719,52649,52719,1,5'
veg,veg,BSU00440,52763,53023,1,-
S30,S30,new_53111_53182,53111,53182,1,5'
sspF,sspF,BSU00450,53183,53368,1,-
