locus	gene_name	gene_function	gene_product	synonyms	regulon	operon	sigma_factor	regulator	regulatory_mechanism	regulation_sign	metabolite	metabolite_sign	annotation
BSU17890	tkt	pentose phosphate pathway	transketolase	tkt|tktA	Spo0A|	tkt		Spo0A|LexA|	TF+PP|TF-proteolyse|	-1|NaN|	nan|DNA_Damage|	nan|1|	transketolase
BSU20290	yorQ	unknown	unknown	yorQ									"hypothetical protein, phage SPbeta"
BSU21700	ypoP	unknown	unknown	ypoP									putative transcriptional regulator (MarR family)
BSU39850	yxbF	unknown	unknown	yxbF|yxaT									putative transcriptional regulator
BSU15640	yloA	rescue of stalled ribosomes	ribosome-associated protein quality control factor	rqcH|yloA	AbrB|								putative persistent RNA/DNA binding protein
BSU02950	yceI	uptake of niacin	nicotinate transporter	niaP|yceI				nadR|	TF+M|	-1|	Niacin|	1|	putative transporter
new_4047463_4047537	S1517		intergenic region	S1517
BSU01650	ybbC	unknown	unknown	ybbC|yzbB	MurR|		sigE|	CodY|*MurR*|	TF+M|silico-TF+M|	NaN|NaN|	GTP isoleucine valine|N-acetylmuramate-6-phosphate|	1 1 1|-1|	conserved hypothetical protein
BSU00390	yabD	unknown	putative metal-dependent hydrolase	yabD	Spo0A|								metal-dependent DNase
BSU17540	ynaF	unknown	unknown	ynaF									hypothetical protein
new_4164565_4165231	S1559	The antisense RNA of gyrB	independent transcript	S1559
new_2195060_2195563_c	S777	The antisense RNA of S6	intergenic region	S777
BSU05344	ydzS.1	unknown	unknown	ydzS/2	AseR|								"conserved hypothetical protein, C-terminal part of ydzS"
BSU07180	yetI.1	possible stressosome protein	split paralog of [[protein|621357D1FB6AC1B0499732EFE226F982B26CE34E]] (with [[protein|778B0E3A524EFE38DE3917FA69F21563D525D1DA]])	yezB									"putative paralog of RsbR, C-terminal part of YetI"
BSU29780	ytxG	unknown	unknown	ytxG|csb40	SigH|	ytxGHJ	sigH|sigB|						conserved hypothetical protein
BSU05810	gmuB	glucomannan uptake and phosphorylation	"glucomannan-specific lichenan-specific [[category|SW 1.2.2|PTS]], EIIB component"	gmuB|ydhM	AbrB|	Op158	sigA|	GmuR|CcpA|AbrB|	TF+M|TF+PP+M|TF|	-1|-1|1|	"Glucomannan|D-fructose-1,6-bisphosphate Glucose-6-Phosphate| @|"	-1|1 1|nan|	oligo-alpha-mannoside phosphotransferase system enzyme IIB
BSU33870	yvbI	unknown	unknown	yvbI	SigD|								putative permease
BSU16770	dapA	biosynthesis of lysine and peptidoglycan	dihydrodipicolinate synthase	dapA	SigA|SigA|SigA|	spoVFAB-asd-dapG-dapA	sigK|sigA|	L-box-LYS|	riboswitch|	1|	Lysine|	1|	dihydrodipicolinate synthase
BSU08730	perR	regulation of the response to peroxide	transcriptional repressor ([SW|Fur family])	perR|ygaG	SigA|	perR	sigA|	PerR|	TF+S|	-1|	Hydrogen_peroxide::stress|	-1|	transcriptional regulator (Fur family)
BSU24360	spoIIIAH	"activation of SigG, forespore encasement by the spore coat"	part of the transmembrane channel linking the mother cell and the forespore	spoIIIAH	SpoIIID|	yqhV-spoIIIAABCDEFGH	sigE|	GerR|SpoIIID|GerE|	TF|TF|TF|	-1|-1|-1|	 @|nan| @|	nan|nan|nan|	stage III sporulation ratchet engulfment protein
new_3582691_3582779_c	S1330		5'UTR of yvcA	S1330
new_1603712_1603778	S563		5'UTR of spoIIGA	S563
BSU02710	yczC	unknown	unknown	yczC									putative integral inner membrane protein
new_1369127_1369854_c	S464	The antisense RNA of S13	3'UTR of ykgB	S464
new_1041710_1041809_c	S336		5'UTR of yheN	S336
BSU40480	yycB	unknown	unknown	yycB	TnrA|	yycCB		TnrA|	TF+P+M|	-1|	Glutamine|	-1|	putative anion ABC transporter (permease)
new_1041733_1041928	S337		5'UTR of dat	S337
new_1268593_1268828	S435		intergenic region	S435
new_3386852_3387780_c	S1270	The antisense RNA of dck	3'UTR of yirB	S1270
BSU15940	smc	segregation of replication origins	chromosome condensation and segregation SMC protein	smc|ylqA	stringent response|	rnc-smc-ftsY	sigK|sigA|	stringent response|GerE|	Nan|TF|	-1|1|	NaN| @|	nan|nan|	chromosome condensation and segregation SMC ATPase
new_839233_839338_c	S266		intergenic region	S266
new_3509781_3509830_c	S1307		3'UTR of lutR	S1307
new_2161801_2162107_c	S768		intergenic region	S768
BSU00240	csfB	control of SigG and SigE activity	inhibitor of [[protein|SigG ]]and SigE	csfB|gin|yaaM	SigF|	csfB	sigF|						forespore-specific protein
BSU09780	yheC	unknown	ATP-binding spore coat protein	yheC	SpoIIID|	yheCD	sigE|	SpoIIID|	TF|	1|	nan|	nan|	"spore coat associated protein, similar to YheD"
new_1571801_1571902_c	S551		5'UTR of ylbJ	S551
BSU31670	yuxO	unknown	unknown	yuxO|srfB	SigA|	comA-yuxO	sigA|						putative esterase
BSU31730	yuzC	protection of the spore	spore coat protein	yuzC	SigE|	yuzC	sigE|						inner spore coat protein
BSU13850	zosA	protection against toxic iron	Fe<sup>2+</sup> efflux pump	pfeT|ykvW|zosA		ykvW	sigA|	PerR|	TF+S|	-1|	Hydrogen_peroxide::stress|	-1|	Zn transporter
new_1900515_1901611	S640	The antisense RNA of yaaK	intergenic region	S640
BSU13360	ykoP	unknown	unknown	ykoP	Fur|								conserved hypothetical protein
new_1570575_1571849	S550	The antisense RNA of yaaL	intergenic region	S550
BSU15560	pyrE	pyrimidine biosynthesis	orotate phosphoribosyltransferase	pyrE|pyrX	SigK|PyrR|	pyrRPBCAAABKDFE	sigA|	PyrR|PurR|	P-AT+M|TF+M|	1|-1|	UTP PRPP UMP|PRPP|	1 -1 1|-1|	orotate phosphoribosyltransferase
new_3495702_3495768_c	S1306		5'UTR of lutA	S1306
BSU12110	yjfA	unknown	unknown	yjfA	SigE|	yjfA	sigE|						conserved hypothetical protein
new_667383_667465	S220		5'UTR of gutB	S220
BSU20830	yopN	unknown	unknown	yopN									"hypothetical protein, phage SPbeta"
BSU12170	yjgD	survival of stress conditions	unknown	yjgD	SigB|		sigB|						conserved hypothetical protein
new_926651_926919_c	S289		independent transcript	S289
BSU04430	ydbD	survival of ethanol stress	unknown	ydbD	SigB|	dctB-ydbD	sigB|						putative manganese-containing catalase
BSU21340	yomJ	unknown	unknown	yomJ	AbrB|			AbrB|	TF|	-1|	 @|	nan|	"putative phage immunity protein, phage SPbeta"
BSU00560	spoVT	regulation of forespore gene expression	transcriptional regulator	spoVT|yabL	SigE|SigF|	spoVT	sigG|sigF|	SpoVT|	TF|	-1|	nan|	nan|	transcriptional regulator
BSU10480	yhjE	unknown	unknown	yhjE	SacT|CodY|LexA|	yhjE-sipV		LexA|	TF-proteolyse|	-1|	DNA_Damage|	1|	putative integral inner membrane protein
BSU13290	ykzD	unknown	unknown	ykzD	SigG|		sigG|						conserved hypothetical protein
new_1923125_1923233	S663		5'UTR of ccdA	S663
BSU26330	yqdA	unknown	unknown	yqdA|yqcS	SknR|			SknR|	TF|	-1|	nan|	nan|	"hypothetical protein, skin element"
new_2749037_2749259	S1013		5'UTR of yraL	S1013
BSU19020	yobN	unknown	unknown	yobN			sigE|	SpoIIID|GerR|	TF|TF|	-1|-1|	nan| @|	nan|nan|	putative amine oxidase
BSU10730	yisI	control of sporulation initiation	[[protein|2C54FE2ADC82FF414D732018C90649D477A925AD]]-P phosphatase	yisI	ComK|PchR|		sigK|sigE|	Spo0A|	TF+PP|	1|	nan|	nan|	Spo0A-P phosphatase
new_3208192_3208279_c	S1190		intergenic region	S1190
new_1192592_1192857	S398		intergenic region	S398
BSU32790	yusG	unknown	unknown	yusG									conserved hypothetical protein
BSU04020	yczH	unknown	unknown	yczH									putative hydrolase
BSU31740	yuxH	degradation of c-di-GMP	c-di-GMP degrading phosphodiesterase	pdeH|yuxH|comB|yufA		yuxH	sigA|	Spo0A|	TF+PP|	-1|	nan|	nan|	putative phosphodiesterase
BSU14071	fadG	fatty acid degradation	unknown	fadG|ykuG	FadR|			FadR|	TF+M|	-1|	Palmitoyl-CoA Oleoyl-CoA|	1|	putative cell wall protein
BSU28800	araA	arabinose utilization	L-arabinose isomerase	araA	CcpA|	araABDLMNPQ-abfA	sigA|	CcpA|AraR|	TF+PP+M|TF+M|	-1|-1|	"D-fructose-1,6-bisphosphate Glucose-6-Phosphate|Arabinose|"	1 1|-1|	L-arabinose isomerase
BSU12220	yjiC	synthesis of bacillaene	macrolide glycosyltransferase	yjiC	SigB|								putative glycosyltransferase
BSU03970	ycnL	unknown	unknown	ycnL	SigA|								putative reductase or disulfide isomerase
new_3032765_3032908	S1130	The antisense RNA of S27	5'UTR of ytsP	S1130
new_1150464_1151119	S381	The antisense RNA of rnmV	independent transcript	S381
BSU19360	odhB	TCA cycle	2-oxoglutarate dehydrogenase complex	odhB	CcpA|	odhAB	sigA|	CcpA|	TF+PP+M|	-1|	"D-fructose-1,6-bisphosphate Glucose-6-Phosphate|"	1 1|	"2-oxoglutarate dehydrogenase complex (dihydrolipoamide transsuccinylase, E2 subunit)"
BSU22070	xpt	purine salvage and interconversion	xanthine phosphoribosyltransferase	xpt	SigA|G-box|	xpt-pbuX	sigA|	PurR|G-box-HXTX|G-box-GUA|	TF+M|riboswitch|riboswitch|	-1|1|1|	PRPP|Hypoxanthine|Guanine|	-1|-1|-1|	xanthine phosphoribosyltransferase
new_3794010_3794074_c	S1430		5'UTR of tsaC	S1430
BSU01170	rplD	translation	ribosomal protein L4	rplD	SigF|stringent response|			stringent response|	Nan|	-1|	NaN|	nan|	ribosomal protein L4
BSU23380	lysA	biosynthesis of lysine	diaminopimelate decarboxylase	lysA	SinR|SigG|	spoVAABCDEF-lysA	sigG|sigA|	SpoVT|L-box-LYS|	TF|riboswitch|	1|1|	nan|Lysine|	nan|1|	diaminopimelate decarboxylase
BSU28930	lytS	control of pyruvate utilization	two-component sensor kinase	lytS									two-component sensor histidine kinase [LytT]
BSU15069	ylzH	unknown	unknown	ylzH									hypothetical protein
BSU00950	mrnC	maturation of 23S rRNA	RNase Mini-III	mrnC|yazC	SigL|SigB|T-box|	gltX-cysES-yazC-yacOP	sigA|	T-box-CYS|	RNA switch|	1|	tRNAcys|	-1|	ribonuclease for 23S RNA maturation
BSU19030	yobO	unknown	unknown	yobO	AbrB|	yobO	sigH|	CcpA|AbrB|	TF+PP+M|TF|	-1|-1|	"D-fructose-1,6-bisphosphate Glucose-6-Phosphate| @|"	1 1|nan|	putative phage-related pre-neck appendage protein
BSU30350	yttB	unknown	unknown	yttB									putative efflux transporter
BSU34910	hisD	biosynthesis of histidine	histidinol dehydrogenase	hisD	SigK|YlxR|	Op90		*HisR*|	silico-TF+M|	NaN|	Histidine|	1|	histidinol dehydrogenase
BSU05610	vmlR	"dissociation of antibiotics (virginiamycin M, lincomycin) from the ribosome"	ABCF ATPase	vmlR|expZ	RNA switch|								ATP-binding cassette efflux transporter
new_2079086_2079196	S728		independent transcript	S728
new_2197860_2198069_c	S778		intergenic region	S778
BSU38140	qoxD	respiration	cytochrome aa3 quinol oxidase (subunit IV)	qoxD|ipa-40d	SigG|stringent response|	Op33		stringent response|	Nan|	-1|	NaN|	nan|	cytochrome aa3-600 quinol oxidase (subunit IV)
BSU21750	scuA	maturation of  cytochrome c oxidase caa3	synthesis of cytochrome oxidase protein	sco|ypmQ									assembly factor BSco of the Cu(A) site of cytochrome c oxidase
BSU37070	rpmEA	translation	ribosomal protein L31	rpmE				stringent response|	Nan|	-1|	NaN|	nan|	ribosomal protein L31
BSU17900	yneE	control of chromosome copy number	inhibitor of [[category|SW 3.1.1]]	sirA|yneE|yoxF				Spo0A|LexA|	TF+PP|TF-proteolyse|	1|NaN|	nan|DNA_Damage|	nan|1|	conserved hypothetical protein
BSU00600	yabP	sporulation	unknown	yabP	SigX|	yabMNOPQ-divIC-yabR	sigE|sigX|sigW|	SpoIIID|	TF|	-1|	nan|	nan|	spore protein involved in the shaping of the spore coat
BSU07430	yfmL	RNA helicase	DEAD-box RNA helicase	yfmL									putative ATP-dependent RNA helicase
BSU27710	tgt	tRNA modification	tRNA-guanine transglycosylase	tgt									tRNA-guanine transglycosylase
new_3733736_3733966_c	S1396	The antisense RNA of S35	5'UTR of ywzD	S1396
BSU08290	yfiJ	involved in resistance to linearmycin	two-component sensor kinase	lnrJ|yfiJ									two-component sensor histidine kinase [YfiK]
BSU08930	cspR	translation	tRNA (Um34/Cm34) methyltransferase homolog	cspR|ygaR|trmL	SigE|		sigE|						putative rRNA methylase
BSU08280	yfiI	unknown	unknown	yfiI									putative oxidoreductase
BSU22400	dinG	response to DNA damage	ATP-dependent DNA helicase	dinG									damage inducible ATP-dependent helicase
BSU26320	yqaG	unknown	unknown	yqaG	SknR|			SknR|	TF|	-1|	nan|	nan|	"putative transcriptional regulator, skin element"
BSU14280	moeA	nitrate respiration	molybdopterin molybdenumtransferase	moeA									molybdene to molybdopterin ligation enzyme
BSU14630	speA	"spermidine, polyamine biosynthesis"	arginine decarboxylase	speA|cad		speA							arginine decarboxylase
BSU20170	yosC	unknown	unknown	yosC									"conserved hypothetical protein, phage SPbeta"
BSU06620	ligA	replication	DNA ligase (NAD-dependent)	ligA|lig|yerG	LexA|	pcrBA-ligA-yerH		LexA|	TF-proteolyse|	-1|	DNA_Damage|	1|	DNA ligase
BSU39050	katE	detoxification (degradation) of hydrogen peroxide	catalase 2	katE|katB	SigB|	katE-yxiS	sigB|						catalase 2
BSU05390	ydfF	unknown	unknown	ydfF				*YdfF*|	silico-TF+unk|	NaN|	unk|	nan|	putative transcriptional regulator
BSU25990	yqbS	unknown	unknown	yqbS									"conserved hypothetical protein, skin element"
new_1780399_1780532	S612		independent transcript	S612
new_3255432_3256404	S1214	The antisense RNA of tilS	independent transcript	S1214
BSU36200	ywqI	unknown	unknown	ywqI									conserved hypothetical protein
